say .,1961
he say,1815
of the,1686
in the,1653
, he,1583
it be,1240
have be,1056
say the,923
be a,904
there be,808
from the,723
to the,671
to be,642
for the,638
on the,610
per cent,555
will be,547
be not,526
, say,522
we have,519
, and,489
at the,488
that be,472
, the,455
and the,455
Australia 's,440
be the,433
do not,428
they be,421
, but,406
we be,405
, which,403
year .,380
say it,376
South Wales,375
with the,373
New South,372
the Federal,348
go to,329
be be,326
Federal Government,321
, with,317
the australian,310
have a,304
of a,296
need to,289
-lrb -,284
-rrb -,284
by the,278
in a,269
I think,266
have to,256
more than,246
the state,244
she say,240
for a,234
be go,234
this year,233
be in,233
say he,225
over the,224
, she,222
that we,222
one of,219
year ,,219
they have,219
which be,217
up to,216
a lot,213
, it,205
look at,204
a new,204
the company,204
expect to,203
that the,202
, from,200
not be,199
South Australia,196
to get,195
it will,193
will not,190
the industry,190
the first,188
Australia .,186
lot of,184
try to,179
Australia ,,177
the government,176
, be,175
Western Australia,175
to a,174
want to,173
the US,172
and we,168
have not,166
cent of,165
as a,162
have get,162
can not,161
, we,159
he be,159
it have,158
number of,158
out of,156
part of,156
say they,156
in Australia,153
, in,153
the National,153
the drought,152
the next,151
to have,150
to make,150
about the,149
due to,148
into the,148
of Australia,147
be very,145
with a,144
, so,142
be still,142
to help,141
single desk,139
, Mr,138
. in,138
and a,138
be expect,137
say there,134
able to,134
they will,133
, to,132
, a,132
plan to,132
call for,132
the market,132
the last,132
would be,131
the past,130
at a,129
be look,128
be now,128
on a,126
, as,126
the world,126
, they,125
continue to,125
but the,124
could be,124
this week,124
we will,123
last year,123
be able,122
be no,122
, have,121
Australia be,121
and they,120
be also,119
state 's,119
be use,118
be to,117
because of,117
market .,116
a bit,116
and that,115
not have,114
farmer be,113
we can,111
I be,111
and it,111
industry .,111
the country,109
, I,108
the price,108
to do,108
be just,108
the new,108
Department of,108
get a,107
the future,106
have have,106
will have,106
that they,105
some of,105
the single,104
this be,104
of they,102
industry be,101
to see,101
a big,100
AWB 's,100
and I,99
as well,97
, that,97
that have,97
Farmers Federation,96
in South,96
tonne of,96
should be,96
as the,96
and be,96
in Western,96
price .,95
in New,95
across the,95
week .,95
the moment,94
-lsb -,94
in Victoria,94
-rsb -,93
say a,93
Government have,93
a major,92
we do,92
be that,91
Australia have,91
the United,91
there have,91
be make,91
say that,91
wheat export,90
New Zealand,90
lack of,90
to take,89
month .,89
Association say,89
to keep,88
the water,88
sort of,87
they can,87
the Cole,85
what we,85
the northern,85
end of,84
million tonne,84
industry ,,84
under the,84
but it,83
, who,83
Australia and,83
can be,83
what be,83
. the,82
farmer in,82
price of,82
grower be,82
be do,82
a very,81
have the,81
United States,81
get to,81
be on,81
climate change,80
the New,80
the grain,80
the same,80
Agriculture Minister,80
start to,80
next year,80
I have,79
the year,79
I do,79
the Murray,79
the region,79
the disease,78
, there,78
who be,78
to try,78
crop .,78
of water,78
use to,77
be call,77
make the,77
be find,77
set to,76
most of,76
's biggest,76
Cole inquiry,76
around the,76
market ,,75
he have,75
the end,75
be more,75
bit of,75
week ,,75
which have,74
cost of,74
price be,74
a year,74
after the,74
a $,74
the latest,74
the most,73
make a,73
season .,73
in Queensland,72
for they,72
month ,,72
a national,72
year 's,72
to $,72
, include,72
farmer to,71
impact on,71
if the,71
first time,71
a number,71
Prime Minister,71
that it,71
the current,70
change to,70
it ,,70
grain grower,70
think that,70
access to,70
at this,70
through the,69
you have,69
think it,69
to stop,69
Peter McGauran,69
would have,69
five year,69
be really,68
be one,68
the best,68
of its,68
Government 's,67
at least,67
if they,67
be set,67
amount of,66
Queensland .,66
drought .,66
the wheat,66
the national,66
farmer have,66
area .,66
grower in,65
have see,65
and say,65
to pay,65
northern territory,65
way to,65
we would,64
a good,64
to sell,64
, because,64
if you,64
the Queensland,64
the cost,64
have also,63
it .,63
to go,63
cent .,63
to buy,63
get the,63
of we,63
that there,63
time ,,62
price ,,62
concern about,62
to increase,62
to reduce,62
government have,61
, after,61
government be,61
after a,61
be some,61
be concern,61
last week,61
the biggest,61
deal with,60
farmer .,60
dairy farmer,60
this season,60
head of,60
all the,60
be under,60
likely to,60
urge to,60
you can,59
, if,59
the farm,59
think the,59
Wales ,,59
and there,59
the eastern,59
of Agriculture,59
of wheat,59
say while,59
it would,59
and have,59
to improve,59
Minister Peter,58
look to,58
export to,58
you be,58
Northern Territory,58
cent a,58
have find,58
the victorian,58
to they,58
the way,58
meat and,58
a lack,58
lead to,58
of $,58
company be,57
, you,57
Livestock Australia,57
north Queensland,57
they do,57
year of,57
may be,57
and Livestock,57
the report,57
be at,57
I would,57
so we,57
future of,56
year ago,56
the nation,56
, or,56
grower have,56
that ,,56
there will,56
National Farmers,56
be ,,56
australian Wool,56
by a,56
if we,56
off the,56
industry have,56
to find,56
be get,55
western australian,55
, while,55
make it,55
be sell,54
primary Industries,54
to give,54
change .,54
Australia say,54
and then,54
water .,54
be take,54
the Northern,54
to put,54
the sale,54
be too,54
be put,54
AWB have,54
the $,54
during the,53
set up,53
up the,53
force to,53
not get,53
to meet,53
not think,53
price for,53
so it,53
in southern,53
South Australian,52
they to,52
because they,52
we need,52
grower ,,52
a little,52
to look,52
to come,52
help to,52
now be,52
of this,52
three year,51
but he,51
from a,51
term of,51
look for,51
to ensure,51
be try,51
the Department,51
of rain,51
be up,51
under way,51
Queensland 's,51
year and,50
drought ,,50
before the,50
but there,50
Wales .,50
wheat exporter,50
come to,50
have now,50
million .,50
demand for,50
now ,,50
farmer and,50
the issue,50
while the,50
be about,49
it do,49
be force,49
a tonne,49
be work,49
fail to,49
to use,49
sector .,49
Victoria 's,49
, will,49
earlier this,49
there ,,49
but we,48
in Tasmania,48
system .,48
's largest,48
. he,48
to farmer,48
a few,48
increase in,48
today .,48
a long,48
the impact,48
of that,48
to work,48
see a,48
of australian,47
and other,47
use in,47
level of,47
come from,47
of primary,47
be quite,47
if it,47
, despite,47
and he,47
the whole,47
be pay,47
the oil-for-food,47
you know,47
the number,47
price and,47
have announce,47
out there,47
find in,46
have already,46
the wool,46
the State,46
price have,46
Snowy Hydro,46
be hope,46
impact of,46
to protect,46
be likely,46
Tasmania 's,46
not a,46
result of,46
of course,46
be probably,46
region .,46
crop ,,46
two year,46
drop in,46
for farmer,46
manage director,46
across Australia,46
in they,45
nation 's,45
in term,45
the plan,45
have take,45
far north,45
water be,45
Association ,,45
in central,45
we think,45
company have,45
in place,44
be worry,44
say farmer,44
in this,44
because the,44
decision to,44
- have,44
water ,,44
the change,44
be consider,44
to provide,44
water allocation,44
dry condition,44
may have,44
the system,44
talk about,44
and vegetable,44
University of,44
Government to,43
12 month,43
in some,43
Queensland ,,43
at all,43
US beef,43
focus on,43
believe the,43
cost .,43
not go,43
code of,43
cent ,,43
Victoria ,,43
and in,43
the other,43
area ,,43
thousand of,43
rather than,43
worry about,42
the ground,42
be already,42
the weekend,42
be hold,42
the amount,42
, particularly,42
government to,42
the University,42
than $,42
couple of,42
wheat grower,42
year to,42
for more,42
for we,42
fruit and,42
grain Council,42
come out,42
be have,42
today ,,42
because it,42
up in,41
to allow,41
crop be,41
system ,,41
- be,41
who have,41
be tell,41
the inquiry,41
- say,41
be need,41
export .,41
give the,41
time in,41
be ask,41
the local,41
call on,41
, where,41
be see,41
day ,,41
seem to,41
the decision,41
be only,41
world 's,41
because we,41
where the,41
down the,40
of those,40
the problem,40
Chief executive,40
this time,40
see the,40
Federal Court,40
that will,40
the environment,40
of conduct,40
the dry,40
the area,40
on they,40
hundred of,40
up a,40
will continue,40
, when,40
country .,40
tell the,40
area of,39
, for,39
of cattle,39
Wales have,39
the season,39
the project,39
value of,39
blame for,39
grower and,39
live export,39
have tell,39
of grain,39
in rural,39
make sure,39
water to,39
10 per,39
state government,39
chief executive,39
cyclone Larry,39
be down,39
up ,,39
like the,39
so that,39
be grow,39
be offer,39
season ,,39
when the,39
north of,39
push for,39
of New,39
should not,39
attempt to,39
be affect,39
he will,38
time .,38
Government be,38
within the,38
that a,38
industry 's,38
eastern state,38
wake of,38
back to,38
of dollar,38
not to,38
agree to,38
harvest .,38
and will,38
and so,38
people be,38
mad cow,38
about a,38
would not,38
which will,38
work in,38
be give,38
as it,38
a result,38
meanwhile ,,37
, one,37
company 's,37
state and,37
what they,37
of people,37
work with,37
grape grower,37
problem .,37
Mark Vaile,37
since the,37
to cut,37
company ,,37
but they,37
day .,37
when it,37
the code,37
Federation -lrb,37
sale of,37
production .,37
the community,37
but I,37
the main,37
McGauran say,36
want the,36
the wine,36
the wake,36
will also,36
